CVE-2021-44906 - CRITICAL -  minimist: prototype pollution
CVE-2019-13115 - MEDIUM -  libssh2: integer overflow in kex_method_diffie_hellman_group_exchange_sha256_key_exchange in kex.c leads to out-of-bounds write
CVE-2016-4008 - MEDIUM -  libtasn1: infinite loop while parsing DER certificates
CVE-2017-9047 - MEDIUM -  libxml2: Buffer overflow in function xmlSnprintfElementContent
CVE-2020-24977 - MEDIUM -  libxml2: Buffer overflow vulnerability in xmlEncodeEntitiesInternal() in entities.c
CVE-2021-3541 - MEDIUM -  libxml2: Exponential entity expansion attack bypasses all existing protection mechanisms
CVE-2017-9050 - MEDIUM -  libxml2: Heap-based buffer over-read in function xmlDictAddString
CVE-2021-3517 - MEDIUM -  libxml2: Heap-based buffer overflow in xmlEncodeEntitiesInternal() in entities.c
CVE-2021-3537 - MEDIUM -  libxml2: NULL pointer dereference when post-validating mixed content parsed in recovery mode
CVE-2021-3516 - MEDIUM -  libxml2: Use-after-free in xmlEncodeEntitiesInternal() in entities.c
CVE-2021-3518 - MEDIUM -  libxml2: Use-after-free in xmlXIncludeDoProcess() in xinclude.c
CVE-2016-9318 - MEDIUM -  libxml2: XML External Entity vulnerability
CVE-2014-5461 - MEDIUM -  lua: overflow flaw in vararg functions
CVE-2019-17543 - MEDIUM -  lz4: heap-based buffer overflow in LZ4_write32
CVE-2021-3520 - MEDIUM -  lz4: memory corruption due to an integer overflow bug caused by memmove argument
CVE-2017-10685 - MEDIUM -  ncurses: Stack-based buffer overflow caused by format string vulnerability in fmt_entry function
CVE-2017-10684 - MEDIUM -  ncurses: Stack-based buffer overflow in fmt_entry function in dump_entry.c
CVE-2021-39537 - MEDIUM -  ncurses: heap-based buffer overflow in _nc_captoinfo() in captoinfo.c
CVE-2019-17594 - MEDIUM -  ncurses: heap-based buffer overflow in the _nc_find_entry function in tinfo/comp_hash.c
CVE-2019-17595 - MEDIUM -  ncurses: heap-based buffer overflow in the fmt_entry function in tinfo/comp_hash.c
CVE-2020-7676 - MEDIUM -  nodejs-angular: XSS due to regex-based HTML replacement
CVE-2021-3918 - MEDIUM -  nodejs-json-schema: Prototype pollution vulnerability
CVE-2020-28500 - MEDIUM -  nodejs-lodash: ReDoS via the toNumber, trim and trimEnd functions
CVE-2020-7598 - MEDIUM -  nodejs-minimist: prototype pollution allows adding or modifying properties of Object.prototype using a constructor or __proto__ payload
CVE-2020-7608 - MEDIUM -  nodejs-yargs-parser: prototype pollution vulnerability
CVE-2019-16769 - MEDIUM -  npm-serialize-javascript: XSS via unsafe characters in serialized regular expressions
CVE-2019-13565 - MEDIUM -  openldap: ACL restrictions bypass due to sasl_ssf value being set permanently
CVE-2020-36230 - MEDIUM -  openldap: Assertion failure in ber_next_element in decode.c
CVE-2021-27212 - MEDIUM -  openldap: Assertion failure in slapd in the issuerAndThisUpdateCheck function
CVE-2020-36222 - MEDIUM -  openldap: Assertion failure in slapd in the saslAuthzTo validation
CVE-2020-36226 - MEDIUM -  openldap: Denial of service via length miscalculation in slap_parse_user
CVE-2020-36225 - MEDIUM -  openldap: Double free in the saslAuthzTo processing
CVE-2020-36227 - MEDIUM -  openldap: Infinite loop in slapd with the cancel_extop Cancel operation
CVE-2019-13057 - MEDIUM -  openldap: Information disclosure issue in slapd component
CVE-2020-36228 - MEDIUM -  openldap: Integer underflow in issuerAndThisUpdateCheck in schema_init.c
CVE-2020-36221 - MEDIUM -  openldap: Integer underflow in serialNumberAndIssuerCheck in schema_init.c
CVE-2020-36224 - MEDIUM -  openldap: Invalid pointer free in the saslAuthzTo processing
CVE-2022-29155 - MEDIUM -  openldap: OpenLDAP SQL injection
CVE-2020-36223 - MEDIUM -  openldap: Out-of-bounds read in Values Return Filter
CVE-2020-36229 - MEDIUM -  openldap: Type confusion in ad_keystring in ad.c
CVE-2020-25710 - MEDIUM -  openldap: assertion failure in CSN normalization with invalid input
CVE-2020-25709 - MEDIUM -  openldap: assertion failure in Certificate List syntax validation
CVE-2021-3712 - MEDIUM -  openssl: Read buffer overruns processing ASN.1 strings
CVE-2019-1547 - MEDIUM -  openssl: side-channel weak encryption vulnerability
CVE-2020-29361 - MEDIUM -  p11-kit: integer overflow when allocating memory for arrays or attributes and object identifiers
CVE-2020-29362 - MEDIUM -  p11-kit: out-of-bounds read in p11_rpc_buffer_get_byte_array function in rpc-message.c
CVE-2017-7186 - MEDIUM -  pcre: Invalid Unicode property lookup (8.41/7, 10.24/2)
CVE-2017-6004 - MEDIUM -  pcre: Out-of-bounds read in compile_bracket_matchingpath function (8.41/3)
CVE-2015-2327 - MEDIUM -  pcre: infinite recursion compiling pattern with zero-repeated groups that include recursive back reference (8.36/19)
CVE-2015-3217 - MEDIUM -  pcre: stack overflow caused by mishandled group empty match (8.38/11)
CVE-2020-26116 - MEDIUM -  python: CRLF injection via HTTP request method in httplib/http.client
CVE-2019-18348 - MEDIUM -  python: CRLF injection via the host part of the url passed to urlopen()
CVE-2017-1000158 - MEDIUM -  python: Integer overflow in PyString_DecodeEscape results in heap-base buffer overflow
CVE-2021-3177 - MEDIUM -  python: Stack-based buffer overflow in PyCArg_repr in _ctypes/callproc.c
CVE-2020-27619 - MEDIUM -  python: Unsafe use of eval() on data retrieved via HTTP in the test suite
CVE-2021-23336 - MEDIUM -  python: Web cache poisoning via urllib.parse.parse_qsl and urllib.parse.parse_qs by using a semicolon in query parameters
CVE-2013-7040 - MEDIUM -  python: hash secret can be recovered remotely
CVE-2022-0391 - MEDIUM -  python: urllib.parse does not sanitize URLs containing ASCII newline and tabs
CVE-2021-3733 - MEDIUM -  python: urllib: Regular expression DoS in AbstractBasicAuthHandler
CVE-2020-8492 - MEDIUM -  python: wrong backtracking in urllib.request.AbstractBasicAuthHandler allows for a ReDoS
CVE-2020-13435 - MEDIUM -  sqlite: NULL pointer dereference in sqlite3ExprCodeTarget()
CVE-2020-13631 - MEDIUM -  sqlite: Virtual table can be renamed into the name of one of its shadow tables
CVE-2019-8457 - MEDIUM -  sqlite: heap out-of-bound read in function rtreenode()
CVE-2019-19924 - MEDIUM -  sqlite: incorrect sqlite3WindowRewrite() error handling leads to mishandling certain parser-tree rewriting
CVE-2019-19645 - MEDIUM -  sqlite: infinite recursion via certain types of self-referential views in conjunction with ALTER TABLE statements
CVE-2019-19880 - MEDIUM -  sqlite: invalid pointer dereference in exprListAppendList in window.c
CVE-2019-19603 - MEDIUM -  sqlite: mishandling of certain SELECT statements with non-existent VIEW can lead to DoS
CVE-2019-5827 - MEDIUM -  sqlite: out-of-bounds access due to the use of 32-bit memory allocator interfaces
CVE-2019-20218 - MEDIUM -  sqlite: selectExpander in select.c proceeds with WITH stack unwinding even after a parsing error
CVE-2020-13529 - MEDIUM -  systemd: DHCP FORCERENEW authentication not implemented can cause a system running the DHCP client to have its network reconfigured
CVE-2018-6954 - MEDIUM -  systemd: Mishandled symlinks in systemd-tmpfiles allows local users to obtain ownership of arbitrary files
CVE-2020-13776 - MEDIUM -  systemd: Mishandles numerical usernames beginning with decimal digits or 0x followed by hexadecimal digits
CVE-2019-3842 - MEDIUM -  systemd: Spoofing of XDG_SEAT allows for actions to be checked against "allow_active" instead of "allow_any"
CVE-2013-4392 - MEDIUM -  systemd: TOCTOU race condition when updating file permissions and SELinux security contexts
CVE-2017-18078 - MEDIUM -  systemd: Unsafe handling of hard links allowing privilege escalation
CVE-2016-6321 - MEDIUM -  tar: Bypassing the extract path name
CVE-2005-2541 - MEDIUM -  tar: does not properly warn the user when extracting setuid or setgid files
CVE-2022-0563 - MEDIUM -  util-linux: partial disclosure of arbitrary files in chfn and chsh when compiled with libreadline
CVE-2016-2779 - MEDIUM -  util-linux: runuser tty hijack via TIOCSTI ioctl
CVE-2022-0359 - MEDIUM -  vim: Heap-based buffer overflow in init_ccline() in ex_getln.c
CVE-2021-4019 - MEDIUM -  vim: heap-based buffer overflow in find_help_tags() in help.c
CVE-2021-3778 - MEDIUM -  vim: heap-based buffer overflow in utf_ptr2char() in mbyte.c
CVE-2021-3872 - MEDIUM -  vim: heap-based buffer overflow in win_redr_status() in drawscreen.c
CVE-2021-3984 - MEDIUM -  vim: illegal memory access in find_start_brace() in cindent.c when C-indenting
CVE-2021-4193 - MEDIUM -  vim: out-of-bound read in getvcol()
CVE-2021-3796 - MEDIUM -  vim: use-after-free in nv_replace() in normal.c
CVE-2021-4192 - MEDIUM -  vim: use-after-free in win_linetabsize()
