CVE-2016-2141 - CRITICAL -  JGroups: Authorization bypass
CVE-2017-7592 - MEDIUM -  libtiff: Left shift of unsigned char without a cast
CVE-2017-7594 - MEDIUM -  libtiff: Memory leak in OJPEGReadHeaderInfoSecTablesDcTable function
CVE-2016-3186 - MEDIUM -  libtiff: buffer overflow in gif2tiff
CVE-2019-17546 - MEDIUM -  libtiff: integer overflow leading to heap-based buffer overflow in tif_getimage.c
CVE-2017-7593 - MEDIUM -  libtiff: tif_rawdata not properly initialized in tif_read.c
CVE-2017-14632 - MEDIUM -  libvorbis: Invalid freeing of uninitialized memory in the function vorbis_analysis_headerout()
CVE-2017-14633 - MEDIUM -  libvorbis: Out-of-bounds array read in the function mapping0_forward()
CVE-2015-9262 - MEDIUM -  libxcursor: 1-byte heap-based overflow in _XcursorThemeInherits function in library.c
CVE-2017-0663 - MEDIUM -  libxml2: Heap buffer overflow in xmlAddID
CVE-2017-9049 - MEDIUM -  libxml2: Heap-based buffer over-read in function xmlDictComputeFastKey
CVE-2017-7375 - MEDIUM -  libxml2: Missing validation for external entities in xmlParsePEReference
CVE-2017-9048 - MEDIUM -  libxml2: Stack-based buffer overflow in function xmlSnprintfElementContent
CVE-2020-12401 - MEDIUM -  nss: ECDSA timing attack mitigation bypass
CVE-2019-17007 - MEDIUM -  nss: Handling of Netscape Certificate Sequences in CERT_DecodeCertPackage() may crash with a NULL deref leading to DoS
CVE-2018-18508 - MEDIUM -  nss: NULL pointer dereference in several CMS functions resulting in a denial of service
CVE-2019-11745 - MEDIUM -  nss: Out-of-bounds write when passing an output buffer smaller than the block size to NSC_EncryptUpdate
CVE-2020-12400 - MEDIUM -  nss: P-384 and P-521 implementation uses a side-channel vulnerable modular inversion function
CVE-2020-6829 - MEDIUM -  nss: Side channel attack on ECDSA signature generation
CVE-2020-12402 - MEDIUM -  nss: Side channel vulnerabilities during RSA key generation
CVE-2020-12399 - MEDIUM -  nss: Timing attack on DSA signature generation
CVE-2018-5268 - MEDIUM -  opencv: Heap-based buffer overflow in cv::Jpeg2KDecoder::readComponent8u
CVE-2020-16123 - MEDIUM -  pulseaudio: race condition in snap policy module allows for information exposure
CVE-2020-25633 - MEDIUM -  resteasy-client: potential sensitive information leakage in JAX-RS RESTEasy Client's WebApplicationException handling
CVE-2022-22971 - MEDIUM -  springframework: DoS with STOMP over WebSocket
CVE-2019-13750 - MEDIUM -  sqlite: dropping of shadow tables not restricted in defensive mode
CVE-2019-13751 - MEDIUM -  sqlite: fts3: improve detection of corrupted records
CVE-2019-13734 - MEDIUM -  sqlite: fts3: improve shadow table corruption detection
CVE-2019-13752 - MEDIUM -  sqlite: fts3: improve shadow table corruption detection
CVE-2019-13753 - MEDIUM -  sqlite: fts3: incorrectly removed corruption check
CVE-2019-9936 - MEDIUM -  sqlite: heap-based buffer over-read in function fts5HashEntrySort in sqlite3.c
CVE-2018-1338 - MEDIUM -  tika: Infinite loop in BPGParser can allow remote attacker to cause a denial of service
CVE-2018-1339 - MEDIUM -  tika: Infinite loop in ChmParser can allow remote attacker to cause a denial of service
CVE-2018-11762 - MEDIUM -  tika: Zip Slip vulnerability in tika-app
CVE-2017-12196 - MEDIUM -  undertow: Client can use bogus uri in Digest authentication
CVE-2018-1114 - MEDIUM -  undertow: File descriptor leak caused by JarURLConnection.getLastModified() allows attacker to cause a denial of service
CVE-2018-14642 - MEDIUM -  undertow: Infoleak in some circumstances where Undertow can serve data from a random buffer
CVE-2016-7046 - MEDIUM -  undertow: Long URL proxy request lead to java.nio.BufferOverflowException and DoS
CVE-2018-1047 - MEDIUM -  undertow: Path traversal in ServletResourceManager class
CVE-2020-13959 - MEDIUM -  velocity: XSS in the default error page for VelocityView
CVE-2019-5953 - MEDIUM -  wget: do_conversion() heap-based buffer overflow vulnerability
CVE-2022-23437 - MEDIUM -  xerces-j2: infinite loop when handling specially crafted XML document payloads
CVE-2021-39140 - MEDIUM -  xstream: Infinite loop DoS via unsafe deserialization of sun.reflect.annotation.AnnotationInvocationHandler
GMS-2022-5 - UNKNOWN -  A potential Denial of Service issue in protobuf-java
GMS-2021-5 - UNKNOWN -  Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection')
GMS-2022-7 - UNKNOWN -  Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection')
